source,direction,category,code,description,count,normalized_code,category_group
ФГОС,09.04.04,ПК-1: методов научных исследований и владением навыками,ПК-1,знанием методов научных исследований и владением навыками их проведения,1.0,ПК-1,Разработка ПО
ФГОС,09.04.04,ПК-2: методов оптимизации и умением применять их при реш,ПК-2,знанием методов оптимизации и умением применять их при решении задач профессиональной деятельности,1.0,ПК-2,Разработка ПО
ФГОС,09.04.04,ПК-3: существующими методами и алгоритмами решения задач,ПК-3,владением существующими методами и алгоритмами решения задач распознавания и обработки данных,1.0,ПК-3,Архитектура и интеграция
ФГОС,09.04.04,ПК-4: существующими методами и алгоритмами решения задач,ПК-4,владением существующими методами и алгоритмами решения задач цифровой обработки сигналов,1.0,ПК-4,Управление проектами и процессами
ФГОС,09.04.04,ПК-5: существующих подходов к верификации моделей програ,ПК-5,пониманием существующих подходов к верификации моделей программного обеспечения,1.0,ПК-5,Управление проектами и процессами
ФГОС,09.04.04,ПК-6: проектировать распределенные информационные систем,ПК-6,"способностью проектировать распределенные информационные системы, их компоненты и протоколы их взаимодействия",1.0,ПК-6,Документация и стандарты
ФГОС,09.04.04,ПК-8: проектировать трансляторы и интерпретаторы языков,ПК-8,способностью проектировать трансляторы и интерпретаторы языков программирования,1.0,ПК-8,Научные исследования и методология
ФГОС,09.04.04,ПК-9: проектировать сетевые службы,ПК-9,способностью проектировать сетевые службы,1.0,ПК-9,Научные исследования и методология
ФГОС,09.04.04,ПК-10: проектировать основные компоненты операционных сис,ПК-10,способностью проектировать основные компоненты операционных систем,1.0,ПК-10,Научные исследования и методология
ФГОС,09.04.04,ПК-11: проектировать вспомогательные и специализированные,ПК-11,способностью проектировать вспомогательные и специализированные языки программирования и языки представления данных,1.0,ПК-11,Архитектура и интеграция
ФГОС,09.04.04,ПК-12: навыками программной реализации распределенных инф,ПК-12,владением навыками программной реализации распределенных информационных систем,1.0,ПК-12,Архитектура и интеграция
ФГОС,09.04.04,ПК-13: навыками программной реализации систем с параллель,ПК-13,владением навыками программной реализации систем с параллельной обработкой данных и высокопроизводительных систем,1.0,ПК-13,Архитектура и интеграция
