source,direction,category,code,description,count,normalized_code
ФГОС,02.04.03,ОПК,ОПК-11,"владением навыками выбора, проектирования, реализации, оценки качества и анализа эффективности программного обеспечения для решения задач в различных предметных областях",1,ОПК-11
ФГОС,02.04.03,ПК,ПК-1,владением навыками использования метода системного моделирования при исследовании и проектировании систем,1,ПК-1
ФГОС,02.04.03,ПК,ПК-2,"готовностью применять современные методы проектирования и производства программного продукта, принципы построения, структуры и приемы работы с инструментальными средствами, поддерживающими создание программного обеспечения",1,ПК-2
ФГОС,02.04.03,ПК,ПК-3,"готовностью организовать работу в коллективе разработчиков программного обеспечения, на основе современных направлений развития методов и программных средств коллективной разработки программного обеспечения",1,ПК-3
ФГОС,02.04.03,ПК,ПК-4,способностью понимать проблемы и оценивать тенденции развития рынка программного обеспечения,1,ПК-4
ФГОС,02.04.03,ПК,ПК-5,"готовностью воспринимать и проводить анализ направлений развития компьютеров с традиционной (нетрадиционной) архитектурой, воспринимать тенденции развития функций и архитектур проблемно-ориентированных программных систем и комплексов (ПК 6); владением принципами обеспечения условий безопасности и жизнедеятельности при разработке и эксплуатации аппаратуры и систем различного назначения",1,ПК-5
ФГОС,02.04.03,ПК,ПК-7,владением навыками преподавания компьютерных наук,1,ПК-7
ФГОС,02.04.03,ПК,ПК-8,владением навыками разработки методических материалов для преподавания компьютерных наук,1,ПК-8
Профстандарт,Системный программист,Разработка компонентов системных программных,6.028,Трудовая функция: Уровень; Наименование Разработка драйверов устройств Код A/01.6 6; квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационный номер; оригин,1,6.028
Профстандарт,Системный программист,Разработка компонентов системных программных,6.028,"Трудовая функция: Разработка компиляторов, загрузчиков, Уровень; Наименование Код A/02.6 6; сборщиков квалификации; Происхождение обобщенной Оригинал X Заимствовано из 566; трудовой функции оригинала; Код Регистрационн",1,6.028
Профстандарт,Системный программист,Разработка компонентов системных программных,6.028,Трудовая функция: Уровень; Наименование Разработка системных утилит Код A/03.6 6; квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационный номер; оригинал ,1,6.028
Профстандарт,Системный программист,Разработка компонентов системных программных,6.028,Трудовая функция: Создание инструментальных средств Уровень; Наименование Код A/04.6 6; программирования квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрац,1,6.028
Профстандарт,Системный программист,Разработка систем управления базами данных,6.028,Трудовая функция: Разработка компонентов системы Уровень; Наименование Код B/01.7 7; управления базами данных квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Реги,1,6.028
Профстандарт,Системный программист,Разработка систем управления базами данных,6.028,Трудовая функция: Отладка разрабатываемой системы Уровень; Наименование Код B/02.7 7; управления базами данных квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Рег,1,6.028
Профстандарт,Системный программист,Разработка систем управления базами данных,6.028,Трудовая функция: Документирование разработанной; Уровень; Наименование системы управления базами данных в Код B/03.7 7; квалификации; целом и ее компонентов; Происхождение обобщенной Заимствовано из; Оригинал X 566; т,1,6.028
Профстандарт,Системный программист,Разработка систем управления базами данных,6.028,Трудовая функция: Сопровождение созданной системы Уровень; Наименование Код B/04.7 7; управления базами данных квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Рег,1,6.028
Профстандарт,Системный программист,Разработка операционных систем,6.028,Трудовая функция: Формирование требований к Уровень; Наименование Код C/01.7 7; операционной системе квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационн,1,6.028
Профстандарт,Системный программист,Разработка операционных систем,6.028,Трудовая функция: Разработка архитектуры операционной Уровень; Наименование Код C/02.7 7; системы квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационный ,1,6.028
Профстандарт,Системный программист,Разработка операционных систем,6.028,Трудовая функция: Написание компонентов операционной Уровень; Наименование Код C/03.7 7; системы квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационный н,1,6.028
Профстандарт,Системный программист,Разработка операционных систем,6.028,Трудовая функция: Контроль соблюдения архитектуры в; Уровень; Наименование процессе написания операционной Код C/04.7 7; квалификации; системы; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции,1,6.028
